Finance Year,Award Date,Fund,Programme Type,Recipient Org:Name,Title,Identifier,Amount Awarded,Scheme,Currency,Funding Org:Identifier,Funding Org:Name,Data source,Date modified
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Digital Arts Studios,Lottery grant to Digital Arts Studios (2014-2015),GB-ACNI-0e10312aeaa78d19b583e198459948ad,60260,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Down Community Arts Ltd,Lottery grant to Down Community Arts Ltd (2014-2015),GB-ACNI-0336c13500a9ec34815ccd25a89e660c,53350,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Drake Music Project Northern Ireland,Lottery grant to Drake Music Project Northern Ireland (2014-2015),GB-ACNI-7f00b945cb44e78d8cacb88388889fc9,52380,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,DU Dance,Lottery grant to DU Dance (2014-2015),GB-ACNI-3493f501f311b85ec4cc284735c93b52,46075,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Dumbworld Ltd,Lottery grant to Dumbworld Ltd (2014-2015),GB-ACNI-3a89420fbb67f0d87000a522e4082cbc,82000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Dun Uladh Ltd,Lottery grant to Dun Uladh Ltd (2014-2015),GB-ACNI-04ce9748acda551bccaa511ab91ecff0,26581,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Dylan Quinn Dance Theatre,Lottery grant to Dylan Quinn Dance Theatre (2014-2015),GB-ACNI-2e08c37f68a34757cc66d4904fa64ff5,54386,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Echo Echo Dance Theatre Company,Lottery grant to Echo Echo Dance Theatre Company (2014-2015),GB-ACNI-86a85495555cc37a858043db3d3f289f,109758,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Annual Funding Programme,Feile an Phobail,Exchequer grant to Feile an Phobail (2014-2015),GB-ACNI-903e819a90d799b5474f1d5306f5c813,142590,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Annual Funding Programme,Flaxart Studios,Exchequer grant to Flaxart Studios (2014-2015),GB-ACNI-0e7cc20e4fc3f55ae1b70d60b60536f6,39396,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Glasgowbury,Lottery grant to Glasgowbury (2014-2015),GB-ACNI-7e3df190144e83911841289fcf94096e,38204,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Annual Funding Programme,Golden Thread Gallery,Exchequer grant to Golden Thread Gallery (2014-2015),GB-ACNI-cf9d67f7db4547bacb422b675053c066,180019,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Greater Shantallow Community Arts,Lottery grant to Greater Shantallow Community Arts (2014-2015),GB-ACNI-eb94055c8afdb6520ddc8484664f481d,113946,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Green Shoot Productions,Lottery grant to Green Shoot Productions (2014-2015),GB-ACNI-f7b584c73ff4ca283cdb6eaee300053f,78000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Guildhall Press,Lottery grant to Guildhall Press (2014-2015),GB-ACNI-67ab5a16734df40659d6120fa0f3ba7f,47100,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Happy Days EIBF,Lottery grant to Happy Days EIBF (2014-2015),GB-ACNI-eb5b13a4abcadeefa8fa125df1ee4966,115000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,In Your Space (NI) Ltd,Lottery grant to In Your Space (NI) Ltd (2014-2015),GB-ACNI-ae77361874b44139277b23232b317cbb,43705,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Irish Pages Ltd.,Lottery grant to Irish Pages Ltd. (2014-2015),GB-ACNI-439c40b465890079902c63c48f5ff019,29000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
